Lasso,ENet,SGLasso,Pclogit,CDReg w/o S,CDReg w/o C,CDReg,data,metric
0.5137706855791963,0.516725768321513,0.5117612293144208,0.5278368794326241,0.5036052009456264,0.4968085106382979,0.5648345153664303,covGau_de1_b0.5,BAcc
0.5053782505910166,0.5053782505910166,0.5299645390070922,0.5156028368794326,0.4980496453900709,0.533806146572104,0.5374704491725768,covGau_de1_b0.5,BAcc
0.5176713947990544,0.5173167848699763,0.5251773049645391,0.52322695035461,0.5289007092198582,0.5092789598108747,0.5298463356973995,covGau_de1_b0.5,BAcc
0.6032821118991332,0.5981579984239559,0.6449665090622537,0.6240927895981088,0.5439460204885735,0.5600748620961387,0.6600788022064618,covGau_de1_b0.5,AUROC
0.6114253349093774,0.6229629629629628,0.6554737982663514,0.6292257683215131,0.581695232466509,0.6076704097714737,0.6567198581560283,covGau_de1_b0.5,AUROC
0.6132190701339637,0.60650512214342,0.6500669818754925,0.6157387706855791,0.4940602836879433,0.5798532308904649,0.6503014184397163,covGau_de1_b0.5,AUROC
0.5876142631993695,0.5878565799842395,0.6350551615445232,0.6037312844759655,0.5869956658786446,0.5785066981875493,0.6448246650906226,covGau_de1_b0.5,AUROC
0.5911052009456266,0.5931195823483059,0.61996158392435,0.6158559889676911,0.5753920409771472,0.5867927501970056,0.6246788810086682,covGau_de1_b0.5,AUROC
0.5694345941686367,0.570068951930654,0.6331501182033097,0.5860776201733648,0.6072675334909378,0.550929866036249,0.6558569739952719,covGau_de1_b0.5,AUROC
0.559943853427896,0.5657151300236406,0.6132161150512215,0.5955171394799055,0.5565208825847123,0.4836820330969267,0.6226418439716311,covGau_de1_b0.5,AUROC
0.6117789598108746,0.621535657998424,0.6444602048857369,0.6069986209613869,0.4831294326241134,0.6170685579196218,0.6613603230890464,covGau_de1_b0.5,AUROC
0.6066036249014972,0.6116331757289204,0.6736564223798266,0.6323561859732073,0.6153319542947202,0.5897941292356187,0.677279353821907,covGau_de1_b0.5,AUROC
0.6184722222222222,0.6182574862096137,0.6693104806934596,0.6318912529550827,0.5296985815602836,0.5533845547675335,0.6773561859732072,covGau_de1_b0.5,AUROC
0.1353468685645729,0.1320649242446732,0.1478995619402326,0.1835954711990531,0.131620756310112,0.085502933607956,0.177191483473884,covGau_de1_b0.5,AUPRC
0.1279821749339153,0.1324505233545803,0.1323246699834657,0.1688643495766068,0.1481717347126526,0.1433211170679257,0.1985261557720285,covGau_de1_b0.5,AUPRC
0.1504732195996432,0.1488067396353249,0.1442695484765743,0.17335563295694,0.0581682953950033,0.0897320442399471,0.2026477282465801,covGau_de1_b0.5,AUPRC
0.1644344380421326,0.1628809955224515,0.1504902722172434,0.1884757278704348,0.1555379790575974,0.088662461710463,0.2681478696662888,covGau_de1_b0.5,AUPRC
0.1307562987284473,0.1277308521048358,0.1436302276075065,0.1606442596917765,0.0999392673683122,0.1533639517854429,0.2155065082508753,covGau_de1_b0.5,AUPRC
0.1156599269311972,0.1148576545883308,0.1106107139767027,0.1384991452707101,0.1546795714161269,0.0804502054376805,0.1442724044315621,covGau_de1_b0.5,AUPRC
0.1051988416281295,0.1065306935294737,0.1022319399124666,0.1544231997402194,0.0970264890788719,0.0563223280997357,0.1492905300297655,covGau_de1_b0.5,AUPRC
0.1147463884513446,0.1178467029203372,0.1194124109052036,0.1366006456965252,0.0561381116480098,0.103654971748826,0.2765276599887576,covGau_de1_b0.5,AUPRC
0.1537058862442709,0.1556861111840428,0.1636625101389513,0.1977909716968704,0.1142867427907616,0.1766239248181491,0.2117444501750196,covGau_de1_b0.5,AUPRC
0.1391468090676835,0.1371331338030673,0.1391966559815247,0.1939504959305527,0.1017311922667144,0.0849625978489644,0.2881735830045909,covGau_de1_b0.5,AUPRC
0.088785620247044,0.0909736430238217,0.0875368577962247,0.0900530981581364,0.0099202933090007,0.0547069910898558,0.0048801011416881,covGau_de1_b0.5,indi
0.0637054395099331,0.0653142747322005,0.0905233621955051,0.0902722265343121,0.0476122501225203,0.0574103250097513,0.0,covGau_de1_b0.5,indi
0.0275119403878192,0.0291618237214373,0.0366277403581389,0.0303043808055523,0.0720071607180056,0.0833280139739454,0.0171656741680716,covGau_de1_b0.5,indi
0.0342848937950949,0.0351676623781394,0.027246101379213,0.0267967385061175,0.0087336706654227,0.0483321461204322,0.0,covGau_de1_b0.5,indi
0.0604281125624743,0.0596049118428441,0.0351467178315258,0.0274885246521902,0.0068357952211418,0.019505778230281,0.0,covGau_de1_b0.5,indi
0.0200167812498259,0.0203461462824901,0.0250702763650741,0.0386883316494903,0.0143503681946307,0.0212690954693916,0.0,covGau_de1_b0.5,indi
0.04551728291965,0.0456942135471119,0.0389149526683759,0.0321812780157005,0.025907537201788,0.0617029331758103,0.0029941765854253,covGau_de1_b0.5,indi
0.0279898715430258,0.0288280073242994,0.0411209955168385,0.025590507083922,0.0467003898214124,0.0622173196565145,0.0,covGau_de1_b0.5,indi
0.0291627846623083,0.0302501843860578,0.0414569830550794,0.0284868055799576,0.0341352520027974,0.0344558744793762,0.0214125097964627,covGau_de1_b0.5,indi
0.0536976368365428,0.0549802163693712,0.0915929725428045,0.0533609111010942,0.0672906981402109,0.0887959974338639,0.0219156806554095,covGau_de1_b0.5,indi
0.048741046939716,0.0518738091687055,0.0630353010216506,0.0445979600516472,0.0312487702280652,0.0301123458595893,0.0253813881208646,covGau_de1_b0.5,isol
0.0198761165853181,0.0203433267465668,0.0514194917608472,0.0122710845241612,0.0134507036223208,0.0087690611896453,0.0065345679299957,covGau_de1_b0.5,isol
0.0729525174556312,0.0743398441933919,0.0557911231567136,0.0668733572524041,0.07184784982273,0.0449794577040345,0.0209793297482308,covGau_de1_b0.5,isol
0.0495517364772009,0.0506623406054419,0.0452361727654132,0.0363798044478532,0.0303923684343321,0.0272745753521245,0.020319382419055,covGau_de1_b0.5,isol
0.0490698848993533,0.0508715983584293,0.0576251699758544,0.0374423387234113,0.0105475362916971,0.0079402651196379,0.0062015026866832,covGau_de1_b0.5,isol
0.0484539964012797,0.0487299993984543,0.0804825608862961,0.0502152272836384,0.0405823410193499,0.0384325204757324,0.0352201344570038,covGau_de1_b0.5,isol
0.0447780930097812,0.0448932841814617,0.046220547934985,0.0331973368133729,0.0459721859650511,0.0341476971844765,0.0156399454244815,covGau_de1_b0.5,isol
0.0565834505629054,0.0575159710643969,0.0652090621239102,0.0608974020225656,0.0468204495826287,0.0360757931579414,0.0304848846805763,covGau_de1_b0.5,isol
0.0156160700432291,0.0159613180040164,0.0376662354693427,0.0151799239961293,0.0200537327326816,0.013949991613076,0.0120532057253774,covGau_de1_b0.5,isol
0.0366111617006347,0.0358611282621533,0.0492343003259408,0.0244747194398517,0.0231320988900935,0.0212670674574298,0.003950351503259,covGau_de1_b0.5,isol
0.9363333333333334,0.937,0.937,0.9406666666666668,0.9396666666666668,0.9276666666666666,0.9423333333333334,covLap2_de1_b0.5,acc
0.931,0.931,0.93,0.935,0.9353333333333332,0.9383333333333334,0.9393333333333334,covLap2_de1_b0.5,acc
0.9353333333333332,0.935,0.9353333333333332,0.9393333333333334,0.9383333333333334,0.9376666666666666,0.9416666666666668,covLap2_de1_b0.5,acc
0.9363333333333334,0.9353333333333332,0.94,0.939,0.9363333333333334,0.936,0.9426666666666668,covLap2_de1_b0.5,acc
0.939,0.939,0.9383333333333334,0.938,0.9403333333333334,0.9403333333333334,0.9406666666666668,covLap2_de1_b0.5,acc
0.938,0.938,0.935,0.9413333333333334,0.9333333333333332,0.9366666666666666,0.9473333333333334,covLap2_de1_b0.5,acc
0.938,0.9376666666666666,0.9363333333333334,0.939,0.9383333333333334,0.936,0.9403333333333334,covLap2_de1_b0.5,acc
0.942,0.942,0.9383333333333334,0.94,0.934,0.9356666666666666,0.9433333333333334,covLap2_de1_b0.5,acc
0.9316666666666666,0.9316666666666666,0.9333333333333332,0.937,0.9356666666666666,0.937,0.9373333333333334,covLap2_de1_b0.5,acc
0.9393333333333334,0.9383333333333334,0.9363333333333334,0.942,0.9376666666666666,0.9283333333333332,0.9436666666666668,covLap2_de1_b0.5,acc
0.5240543735224586,0.5270094562647754,0.5452127659574468,0.534160756501182,0.5206264775413711,0.535047281323877,0.5558510638297872,covLap2_de1_b0.5,BAcc
0.5342198581560283,0.5342198581560283,0.5206855791962175,0.5363475177304965,0.507919621749409,0.5251182033096926,0.5230496453900709,covLap2_de1_b0.5,BAcc
0.5261229314420803,0.5285460992907801,0.5287234042553192,0.5230496453900709,0.5121158392434988,0.5377659574468086,0.5502955082742317,covLap2_de1_b0.5,BAcc
0.5162529550827424,0.5105200945626477,0.5156028368794326,0.5228723404255319,0.4980496453900709,0.531678486997636,0.558628841607565,covLap2_de1_b0.5,BAcc
0.5176713947990544,0.5176713947990544,0.5199172576832152,0.5327423167848699,0.5209810874704491,0.5339834515366431,0.5367612293144208,covLap2_de1_b0.5,BAcc
0.5145390070921986,0.5145390070921986,0.5155437352245863,0.5215130023640662,0.4990543735224586,0.532033096926714,0.5767139479905438,covLap2_de1_b0.5,BAcc
0.5301418439716312,0.5299645390070922,0.5318557919621749,0.5176713947990544,0.5199172576832152,0.542080378250591,0.5391843971631206,covLap2_de1_b0.5,BAcc
0.5270685579196217,0.5270685579196217,0.5017139479905438,0.5130023640661938,0.5150118203309693,0.5393026004728132,0.5459810874704492,covLap2_de1_b0.5,BAcc
0.5267730496453901,0.5267730496453901,0.5302600472813239,0.5374113475177305,0.4976950354609929,0.5296099290780142,0.4985815602836879,covLap2_de1_b0.5,BAcc
0.5542553191489361,0.5537234042553192,0.5266548463356974,0.5348699763593381,0.5039598108747045,0.4989952718676123,0.5461583924349882,covLap2_de1_b0.5,BAcc
0.6340130023640662,0.6346256895193065,0.6572438928289993,0.6415898345153663,0.5474389282899921,0.6852442868400315,0.6853821907013395,covLap2_de1_b0.5,AUROC
0.6101920803782506,0.6110224586288416,0.6340622537431049,0.6197172970843184,0.5376802600472814,0.5737234042553192,0.6425630417651694,covLap2_de1_b0.5,AUROC
0.6057998423955872,0.6082141449960597,0.643404255319149,0.6328654452324666,0.5099192277383766,0.5827344365642239,0.693823877068558,covLap2_de1_b0.5,AUROC
0.6141469661150512,0.6195724980299447,0.6577728526398738,0.6357082348305753,0.5484042553191489,0.6161741528762805,0.6641784869976359,covLap2_de1_b0.5,AUROC
0.6232033096926713,0.6259810874704492,0.6694887706855793,0.6253959810874705,0.6017336485421592,0.6124054373522458,0.6760086682427108,covLap2_de1_b0.5,AUROC
0.6365218676122932,0.6392218282111899,0.6743213159968479,0.6454984239558708,0.5670685579196217,0.6622064617809299,0.7035855003940111,covLap2_de1_b0.5,AUROC
0.604265169424744,0.6086514972419228,0.6822478329393221,0.6399881796690308,0.6035953506698188,0.5440858944050434,0.714848305752561,covLap2_de1_b0.5,AUROC
0.6197852639873915,0.6245173364854215,0.6849034672970843,0.6437253743104806,0.5736386918833727,0.581621355397951,0.7208037825059102,covLap2_de1_b0.5,AUROC
0.6185441292356185,0.6181520882584712,0.6587214342001576,0.6387332545311268,0.6324211977935382,0.5918134357762017,0.6756126871552405,covLap2_de1_b0.5,AUROC
0.6109623719464146,0.6063810086682427,0.690834318360914,0.6415405831363279,0.625220646178093,0.4938022064617809,0.6915908195429472,covLap2_de1_b0.5,AUROC
0.1445418513694922,0.1457940638157019,0.1578997358931872,0.2026100078450755,0.1346446286256933,0.1832358815022903,0.2896482978916635,covLap2_de1_b0.5,AUPRC
0.1246328388611967,0.1238319351037962,0.1254823532244154,0.1584999514569924,0.0850104523386878,0.1143385279032844,0.1776210420180282,covLap2_de1_b0.5,AUPRC
0.133215393346357,0.134092199324665,0.144006596237887,0.1903213977506397,0.0832135369399002,0.1469005313802845,0.284047159780052,covLap2_de1_b0.5,AUPRC
0.1356243474142935,0.1373181865766787,0.1657883368962668,0.2171426784953899,0.0811930511163246,0.1280749715580725,0.2926189931238697,covLap2_de1_b0.5,AUPRC
0.1541915423148027,0.1553750081088233,0.1461174351703499,0.1781614471772168,0.1870025085230026,0.1634427452832513,0.1849805054764306,covLap2_de1_b0.5,AUPRC
0.1619612000643862,0.1611091439653884,0.1444328267014385,0.2255079879180372,0.0866562927516374,0.1259723439531508,0.3840933257485636,covLap2_de1_b0.5,AUPRC
0.1486032490101739,0.1507845831058525,0.1657326674440709,0.2104656301712094,0.1585826521750866,0.1206171728420702,0.1976117509216508,covLap2_de1_b0.5,AUPRC
0.1714427185931219,0.1722619695626571,0.1509829192274927,0.2191801491645511,0.1124945497896839,0.1478147664232952,0.2923721202047697,covLap2_de1_b0.5,AUPRC
0.1361872508657236,0.135478464512057,0.1575025530658893,0.2102849696674536,0.1078699467683842,0.1043915438789096,0.1807876982223954,covLap2_de1_b0.5,AUPRC
0.2043476165674662,0.2025563418925454,0.1690882846305658,0.2431181546327583,0.133904213802617,0.0617812908519826,0.3198278583664323,covLap2_de1_b0.5,AUPRC
0.0759765849179696,0.0763368520848773,0.0896006923787825,0.0702127062918846,0.0189707157225964,0.0230548200108015,0.0,covLap2_de1_b0.5,indi
0.0400669983408512,0.041085197087716,0.0625500714819298,0.0279129401503738,0.0035813873742475,0.0045434233030334,0.0,covLap2_de1_b0.5,indi
0.0683945916438883,0.0695793418840522,0.0722613399833437,0.0422078335815806,0.0066459906085392,0.0196680195559034,0.0,covLap2_de1_b0.5,indi
0.0425803515572854,0.0418316812374965,0.0625400646649781,0.0504696664543693,0.0278647108974179,0.0432997829542043,0.0128344349624806,covLap2_de1_b0.5,indi
0.0595527811836626,0.0609522757564469,0.0646537998855072,0.0578017536372494,0.0434300342417438,0.0516646852082123,0.0371499854650851,covLap2_de1_b0.5,indi
0.0201895949578636,0.0198962562070423,0.0264712824349545,0.0149109797924637,0.0038486411864241,0.0522941333724346,0.0,covLap2_de1_b0.5,indi
0.0607149093423794,0.0627026636651421,0.0754177931286658,0.0437451742737305,0.0317410512608795,0.0399836813291843,0.028038030033931,covLap2_de1_b0.5,indi
0.0296403699858921,0.030061596938874,0.0380134143401613,0.0182731870114174,0.03836893386819,0.0839601528947588,0.0,covLap2_de1_b0.5,indi
0.0527832200430707,0.0533292705998819,0.064253782619062,0.0406239233236759,0.0096556963017098,0.0489567008192803,0.0,covLap2_de1_b0.5,indi
0.0828424718411101,0.0828171490987421,0.0653434241322099,0.065847136693575,0.0042306906142087,0.0329914895491136,0.0005698156225661,covLap2_de1_b0.5,indi
0.04848930950027,0.0506484563134038,0.0424257175349524,0.0374914816460657,0.0406389684547337,0.0324544843714024,0.023352291481676,covLap2_de1_b0.5,isol
0.043834235496851,0.0458053831953082,0.0739487036635194,0.0395191797614461,0.0629578976999582,0.0153733289137217,0.0143552784441843,covLap2_de1_b0.5,isol
0.0580365890607045,0.0593750422633725,0.065536426249708,0.0447835552236807,0.0330959912123087,0.0298492641168169,0.0281325719995133,covLap2_de1_b0.5,isol
0.0460446106581315,0.0469353523987947,0.0525922041700851,0.023295789322338,0.0244372377110838,0.0240606497850563,0.0180302636176951,covLap2_de1_b0.5,isol
0.0531308520617785,0.0543617391677205,0.0894792839290723,0.0713597490617149,0.0257280976546007,0.0181328998968734,0.016140381706577,covLap2_de1_b0.5,isol
0.0496991654339179,0.0510733527958272,0.064307250651439,0.0309465315314525,0.021784712553907,0.0208538982321269,0.0141811585209644,covLap2_de1_b0.5,isol
0.0562913730090313,0.0566303993825886,0.0579549961521992,0.0250315431920965,0.0330068590599587,0.029180417774732,0.0155331042949623,covLap2_de1_b0.5,isol
0.0857318300107758,0.0849642852093027,0.0612101569224459,0.0534127550877605,0.0436149044832854,0.0429663870427351,0.0403709763578328,covLap2_de1_b0.5,isol
0.0601189257103828,0.0603712212589404,0.0613547107089133,0.0573846967637013,0.0344536917095675,0.0296585944903841,0.0282705644129089,covLap2_de1_b0.5,isol
0.0618129179737305,0.0620600812372128,0.0593230226333745,0.0200937698790901,0.0201108586681855,0.019504419615681,0.0187537415584182,covLap2_de1_b0.5,isol
